"Architecture","Best_Resolution_W","Best_Resolution_H","Core_Speed","DVI_Connection","Dedicated","Direct_X","HDMI_Connection","Integrated","L2_Cache","Manufacturer","Max_Power","Memory","Memory_Bandwidth","Memory_Bus","Memory_Speed","Memory_Type","Name","Notebook_GPU","Open_GL","PSU_Watt","PSU_Amps","Pixel_Rate","Power_Connector","Process","ROPs","Release_Date","Resolution_W","Resolution_H","SLI_Crossfire","Shader","TMUs","Texture_Rate","VGA_Connection"
"Tesla G92b ",1920,1080,738,2,TRUE,"DX 10.0",0,FALSE,0,"Nvidia",141,1024,64,256,1000,"GDDR3","GeForce GTS 150",FALSE,"3.3",450,38,12,"None",55,16,2009-03-01,2560,1600,TRUE,"4",64,47,0
"R600 XT ",1366,768,946.385551948052,2,TRUE,"DX 10",0,FALSE,0,"AMD",215,512,106,512,828,"GDDR3","Radeon HD 2900 XT 512MB",FALSE,"3.1",550,35,12,"None",80,16,2007-05-14,2560,1600,TRUE,"4",16,12,0
"R600 PRO ",1366,768,946.385551948052,2,TRUE,"DX 10",0,FALSE,0,"AMD",200,512,51.2,256,800,"GDDR3","Radeon HD 2900 Pro",FALSE,"3.1",550,35,10,"None",80,16,2007-12-07,2560,1600,TRUE,"4",16,10,0
"RV630 ",1024,768,946.385551948052,2,TRUE,"DX 10",0,FALSE,0,"AMD",150,256,36.8,128,1150,"GDDR4","Radeon HD 2600 XT Diamond Edition",FALSE,"3.3",500,30,3,"None",65,4,2007-07-01,2560,1600,TRUE,"4",8,7,0
"RV630 ",1024,768,946.385551948052,2,TRUE,"DX 10",0,FALSE,0,"AMD",45,256,22.4,128,700,"GDDR3","Radeon HD 2600 XT",FALSE,"3.1",400,25,3,"None",65,4,2007-06-28,2560,1600,TRUE,"4",8,6,0
"RV630 ",1024,768,946.385551948052,2,TRUE,"DX 10",0,FALSE,0,"AMD",50,256,35.2,128,1100,"GDDR4","Radeon HD 2600 XT 256MB GDDR4",FALSE,"3.3",400,26,3,"None",65,4,2007-06-26,2560,1600,TRUE,"4",8,6,0
"R700 RV790 XT ",1920,1080,870,1,TRUE,"DX 10.1",1,FALSE,0,"AMD",190,2048,134.4,256,1050,"GDDR5","Radeon HD 4890 Sapphire Vapor-X OC 2GB Edition",FALSE,"3.3",500,37,14,"2x 6-pin ",55,16,2009-07-13,2560,1600,TRUE,"4.1",40,35,1
"R600 GT ",1024,768,946.385551948052,2,TRUE,"DX 10",0,FALSE,0,"AMD",150,256,51.2,256,800,"GDDR3","Radeon HD 2900 GT",FALSE,"3.1",550,30,7,"None",80,12,2007-11-06,2560,1600,TRUE,"4",12,7,0
"Pitcairn XT GL ",1920,1080,946.385551948052,0,TRUE,"DX 11.2",0,FALSE,0,"AMD",150,2048,160,256,1250,"GDDR5","FirePro D300",FALSE,"4.3",500,20,25,"None",28,32,2014-01-18,4096,2160,TRUE,"5",80,62,0
"RV100 ",1920,1080,946.385551948052,1,TRUE,"DX 7",0,FALSE,0,"AMD",32,64,2.9,64,366,"DDR","Radeon 7000 64mb",FALSE,"1.4",500,30,3,"None",28,32,2001-01-02,1600,1200,FALSE,"1",4,5,1
"NV28GL A2 ",1920,1080,946.385551948052,2,TRUE,"DX 8.1",0,FALSE,0,"Nvidia",150,128,5.2,128,325,"DDR","Quadro4 980 XGL",FALSE,"1.5",500,30,1,"None",150,4,2002-11-01,4096,2160,FALSE,"1.3",8,2,0
"Fermi GF110 ",1920,1080,650,2,TRUE,"DX 12.0",1,FALSE,768,"Nvidia",250,6144,177.6,384,925,"GDDR5","Tesla M2090",FALSE,"4.5",600,42,31,"1x 6-pin + 1x 8-pin ",40,48,2011-07-25,2560,1600,TRUE,"5",56,36,0
"Kepler GK110 ",1920,1080,705,0,TRUE,"DX 12.0",0,FALSE,1536,"Nvidia",225,5120,168,320,1050,"GDDR5","Tesla K20",FALSE,"4.5",650,30,3,"None",28,32,2012-11-01,4096,2160,FALSE,"5",112,5,0
"Kepler GK110 ",2560,1600,706,0,TRUE,"DX 12.0",0,FALSE,1536,"Nvidia",245,12288,288.4,384,1502,"GDDR5","Tesla K40c",FALSE,"4.5",500,30,34,"None",28,48,2013-11-12,4096,2160,TRUE,"5",240,169,0
"RV200 ",1920,1080,946.385551948052,1,TRUE,"DX 7",0,FALSE,0,"AMD",150,64,5.8,128,360,"DDR","All-in-Wonder Radeon 7500",FALSE,"1.4",500,30,3,"None",28,32,2002-01-22,1600,1200,FALSE,"Unknown",4,5,1
"GCN 1.1 Oland XT + Kaveri ",1600,900,1050,1,TRUE,"DX 12.0",1,FALSE,4608,"AMD",150,3072,57.6,128,900,"DDR3","Radeon R7 250 v2 MSI OC 2GB + Radeon R7 7870K Dual",FALSE,"4.4",400,27,18,"None",28,16,2015-05-28,2560,1600,TRUE,"5",28,62,1
"Kepler GK104 x2 ",1920,1080,946.385551948052,0,TRUE,"DX 11.1",0,FALSE,0,"Nvidia",300,8192,320,512,1250,"GDDR5","Tesla K10",FALSE,"4.2",650,30,3,"None",28,32,2012-05-15,4096,2160,FALSE,"5",128,5,0
"Kepler GK110 ",1920,1080,732,0,TRUE,"DX 12.0",0,FALSE,1536,"Nvidia",235,6144,249.6,384,1300,"GDDR5","Tesla K20X",FALSE,"4.5",500,30,3,"None",28,32,2012-11-12,4096,2160,TRUE,"5",112,5,0
"Skylake GT3-E ",1366,768,300,0,FALSE,"DX 12.1",0,TRUE,512,"Intel",28,2048,34.1,128,1067,"DDR4","Iris i3 6167U",TRUE,"4.4",500,30,2,"Unknown",14,2,2015-09-01,4096,2304,FALSE,"5",8,8,0
"R360 ",1024,768,946.385551948052,1,TRUE,"DX 9",0,FALSE,0,"AMD",60,256,23.4,256,730,"DDR","Radeon 9800 XT",FALSE,"2",400,20,3,"None",150,8,2003-10-01,2048,1536,FALSE,"2",8,3,1
"Fermi GF100 ",1920,1080,575,1,TRUE,"DX 12.0",0,FALSE,768,"Nvidia",238,6144,144,384,750,"GDDR5","Tesla C2070",FALSE,"4.5",750,30,3,"None",40,32,2010-09-01,2560,1600,FALSE,"5",56,5,0
"Fermi GF100 ",1920,1080,575,1,TRUE,"DX 12.0",0,FALSE,768,"Nvidia",247,6144,144,384,750,"GDDR5","Tesla C2075",FALSE,"4.5",750,30,3,"None",40,32,2011-07-01,2560,1600,FALSE,"5",56,5,0
"NV25 A2 ",1920,1080,946.385551948052,2,TRUE,"DX 8.1",0,FALSE,0,"Nvidia",150,128,3.6,128,225,"DDR","Quadro4 750 XGL",FALSE,"1.5",500,30,1,"None",150,4,2002-02-19,4096,2160,FALSE,"1.3",8,2,0
"NV28GL A2 ",1920,1080,946.385551948052,2,TRUE,"DX 8.1",0,FALSE,0,"Nvidia",150,128,5.2,128,325,"DDR","Quadro4 900 XGL",FALSE,"1.5",500,30,1,"None",150,4,2002-11-01,4096,2160,FALSE,"1.3",8,2,0
"Skylake GT3-E ",1366,768,300,0,FALSE,"DX 12.1",0,TRUE,512,"Intel",15,2048,34.1,128,1067,"DDR4","Iris i5 6360U",TRUE,"4.4",500,30,2,"Unknown",14,2,2015-09-01,4096,2304,FALSE,"5",8,8,0
"NV28 ",1920,1080,946.385551948052,2,TRUE,"DX 8.1",0,FALSE,0,"Nvidia",150,128,4.4,128,275,"DDR","Quadro4 780 XGL",FALSE,"1.5",500,30,1,"1x 6-pin ",150,4,2002-11-01,4096,2160,FALSE,"1.3",8,2,0
"Fermi GF100 ",1920,1080,575,1,TRUE,"DX 12.0",0,FALSE,768,"Nvidia",238,3072,144,384,750,"GDDR5","Tesla C2050",FALSE,"4.5",750,30,3,"None",40,32,2010-05-01,2560,1600,FALSE,"5",48,5,0
"Skylake GT3-E ",1366,768,300,0,FALSE,"DX 12.1",0,TRUE,512,"Intel",28,2048,34.1,128,1067,"DDR4","Iris i5 6267U",TRUE,"4.4",500,30,2,"Unknown",14,2,2015-09-01,4096,2304,FALSE,"5",8,8,0
"Skylake GT3-E ",1366,768,300,0,FALSE,"DX 12.1",0,TRUE,512,"Intel",15,2048,34.1,128,1067,"DDR4","Iris i5 6260U",TRUE,"4.4",500,30,2,"Unknown",14,2,2015-09-01,4096,2304,FALSE,"5",8,8,0
"Haswell GT3 ",1366,768,200,1,FALSE,"DX 11.1",1,TRUE,512,"Intel",15,2048,25.6,128,800,"DDR3","Iris i5 4258U",TRUE,"4",500,30,4,"Unknown",22,4,2013-06-02,2560,1600,FALSE,"5",8,9,1
"NV18 A4 ",1920,1080,946.385551948052,2,TRUE,"DX 8.1",0,FALSE,0,"Nvidia",150,64,3.2,128,200,"DDR","Quadro4 580 XGL",FALSE,"1.5",500,30,1,"None",150,4,2002-11-01,4096,2160,FALSE,"1.3",4,1,0
"Broadwell GT3-E ",1366,768,300,0,FALSE,"DX 12.0",0,TRUE,1024,"Intel",47,2048,29.9,128,933,"DDR3","Iris i5 5350H",TRUE,"4.4",500,30,2,"Unknown",14,2,2015-06-02,4096,2304,FALSE,"5",8,8,0
"NV17 A3 ",1920,1080,946.385551948052,2,TRUE,"DX 8.1",0,FALSE,0,"Nvidia",150,64,3.2,128,200,"DDR","Quadro4 550 XGL",FALSE,"1.5",500,30,1,"None",150,4,2002-02-19,4096,2160,FALSE,"1.3",4,1,0
"NV18 A4 ",1920,1080,946.385551948052,2,TRUE,"DX 8.1",0,FALSE,0,"Nvidia",150,128,4.1,128,256,"DDR","Quadro4 380 XGL",FALSE,"1.5",500,30,1,"None",150,4,2002-02-19,4096,2160,FALSE,"1.3",4,1,0
"NV25 A2 ",1920,1080,946.385551948052,2,TRUE,"DX 8.1",0,FALSE,0,"Nvidia",150,64,3.6,128,225,"DDR","Quadro4 700 XGL",FALSE,"1.5",500,30,1,"None",150,4,2002-02-19,4096,2160,FALSE,"1.3",8,2,0
"Skylake GT3-E ",1366,768,300,0,FALSE,"DX 12.1",0,TRUE,512,"Intel",28,2048,34.1,128,1067,"DDR4","Iris i5 6287U",TRUE,"4.4",500,30,2,"Unknown",14,2,2015-09-01,4096,2304,FALSE,"5",8,9,0
